Common Name(s),Scientific Name,Distribution,Tree Size,Average Dried Weight,Janka Hardness,Modulus of Rupture,Elastic Modulus,Crushing Strength,Shrinkage,Rot Resistance,Workability,Common Uses
" tambootie (variously spelled as tambuti, tambotie, etc.), sandalo", spirostachys africana, southern africa," 30-50 ft (9-15 m) tall, 1-1.5 ft (30-46 cm) trunk diameter", 60 lbs/ft3 (955 kg/m3)," 2,480 lbf (11,010 n)","14,890 lbf/in2(102.7 mpa)","1,487,000 lbf/in2(9.08 gpa)","8,920 lbf/in2(61.5 mpa)"," radial 2.8%, tangential 5.4%, volumetric 8.2%, t/r ratio 1.9"," tambootie heartwood is rated as being very durable, and is also resistant to insect attack."," overall, tambootie has good workingcharacteristics, and despite its high density, responds well to machining operations. however, blunting effect on cutters is medium to severe. also, because of the presence of natural oils, the wood can be difficult to sand. glues, turns, and finishes well, able to take on a high natural polish."," carvings, furniture, turned objects, and other small, specialty wood items."
tanoak,notholithocarpus densiflorus,western united states,"65-100 ft (20-30 m) tall, 3-5 ft (1-1.5 m) trunk diameter",42 lbs/ft3 (675 kg/m3),"1,420 lbf (6,290 n)","16,650 lbf/in2 (114.8 mpa)","2,071,000 lbf/in2 (14.29 gpa)","8,250 lbf/in2 (56.9 mpa)"," radial 4.9%, tangential 11.7%, volumetric 17.3%, t/r ratio 2.4",rated as non-durable to perishable; poor insect resistance.,"good workability with machine or hand tools, though lumber can be challenging to dry without defects or discoloration. poor dimensional stability. glues, stains, and finishes well.","veneer, flooring, railroad cross-ties, and furniture."
 tatajuba, bagassaguianensis, northeastern south america," 65-100 ft (20-30 m) tall, 2-3 ft (.6-1 m) trunk diameter", 50 lbs/ft3 (800 kg/m3)," 1,720 lbf (7,650 n)"," 17,930 lbf/in2 (123.7 mpa)"," 2,752,000 lbf/in2 (18.98 gpa)"," 11,440 lbf/in2 (78.9 mpa)"," radial 4.4%, tangential 5.9%, volumetric 9.6%, t/r ratio 1.3"," tatajuba has been reported to be durable to very durable regarding decay resistance, with goodresistanceto insectattack. however, it's reported to have rather poorweatheringcharacteristics."," good overall workability, though pieces with interlocked grain may pose a risk of tearout during planing (particularlyquartersawnsurfaces). also, its high silica content means that it will dull cutting edges faster than usual. turns, glues, and finishes well."," flooring, decking, boatbuilding, cabinetry, furniture, veneer, and turned objects."
" teak, burmese teak", tectona grandis, native to southern asia,," 100-130 ft (30-40 m) tall, 3-5 ft (1-1.5 m) trunk diameter", 41 lbs/ft3 (655 kg/m3)," 1,070 lbf (4,740 n)"," 14,080 lbf/in2 (97.1 mpa)"," 1,781,000 lbf/in2 (12.28 gpa)"," 7,940 lbf/in2 (54.8 mpa)"," radial 2.6%, tangential 5.3%, volumetric 7.2%, t/r ratio 2.0"," teak has been considered by many to be the gold standard for decay resistance, and its heartwood is rated as very durable. teak is also resistant to termites, though it is only moderately resistant to marine borers and powder post beetles."," easy to work in nearly all regards, with the only caveat being that teak contains a high level of silica (up to 1.4%) which has a pronounced blunting effect on cutting edges. despite its natural oils, teak usually glues and finishes well, though in some instances it may be necessary to wipe the surface of the wood with a solvent prior to gluing/finishing to reduce the natural oils on the surface of the wood."
" afrormosia, afromosia, african teak", pericopsis elata, west africa,"100-150 ft (30-46 m) tall, 3-5 ft (1-1.5 m) trunk diameter",  45 lbs/ft3 (725 kg/m3)," 1,570 lbf (6,980 n)"," 14,920 lbf/in2 (102.9 mpa)"," 1,715,000 lbf/in2 (11.83 gpa)"," 9,570 lbf/in2 (66.0 mpa)"," radial 3.2%, tangential 6.2%, volumetric 9.9%, t/r ratio 1.9"," rated as very durable regarding decay resistance, and is also resistant to termites and other insects."," in nearly all regards, afrormosia is easy to work with both hand and machine tools, though surfacing boards with interlocking grain may cause tearout. other downsides include a slight blunting effect on cutting edges, and the development of dark stains if left in contact with iron in damp conditions. afrormosia turns, glues, stains, and finishes well."," boatbuilding, veneer, flooring, and furniture."
" cumaru, brazilian teak", dipteryx odorata, northern south america," 130-160 ft (40-50 m) tall, 3-5 ft (1-1.5 m) trunk diameter","  68 lbs/ft3 (1,085 kg/m3)"," 3,330 lbf (14,800 n)"," 25,390 lbf/in2 (175.1 mpa)"," 3,237,000 lbf/in2 (22.33 gpa)"," 13,850 lbf/in2 (95.5 mpa)"," radial 5.3%, tangential 7.7%, volumetric 12.6%, t/r ratio 1.5"," cumaru has excellent durability and weathering properties. the wood is rated as very durable regarding decay resistance, though it may be susceptible to some insect attacks."," tends to be difficult to work on account of its density and interlocked grain. if the grain is not too interlocked, cumaru can be surface-planed to a smooth finish. however, the wood contains silica and will have a moderate blunting effect on tool cutters. due to its high oil content and density, cumaru can present difficulties in gluing, and pre-boring is necessary when screwing or nailing the wood."," flooring, cabinetry, furniture, heavy construction, docks, railroad ties, bearings, handles, and other turned objects."
"rhodesian teak, zambesi redwood",baikiaea plurijuga,primarily zimbabwe (formerly rhodesia) and other countries in southern africa,"50-65 ft (15-20 m) tall, 1-2 ft (.3-.6 m) trunk diameter",56 lbs/ft3 (890 kg/m3),"2,990 lbf (13,300 n)","12,220 lbf/in2 (84.3 mpa)","1,230,000 lbf/in2 (8.48 gpa)","9,600 lbf/in2 (66.2 mpa)"," radial 2.6%, tangential 4.5%, volumetric 6.9%, t/r ratio 1.7"," rated as very durable; good insect resistance, though sapwood is prone to insect attack."," can be difficult to work because of high cutting resistancesaws slowly, and has a tendency to ride up over jointer knives. also, due to its high silica content, cutting edges become severely blunted. however, the wood is stable in service, and glues, turns, and finishes well."," flooring, veneer, millwork, fretboards, and turned objects."
thuya (burl), tetraclinis articulata,atlas mountain region,"20-50 ft (6-15 m) tall, 1-2 ft (.3-.6 m) trunk diameter",42 lbs/ft3 (680 kg/m3),"1,160 lbf (5,140 n)","13,600 lbf/in2(93.8 mpa)*","1800,000 lbf/in2(12.41 gpa)*","7,750 lbf/in2(53.4 mpa)*","radial 4.5%, tangential 5.1%, <br />longitudinal 3.3%, volumetric 12.9%, t/r ratio 1.1**",rated as durable; goodinsect/borerresistance.," like most other burls, thuya burl can be difficult to work, and care must be taken to avoid tearout. most shaping/planing operations will result in torn grain, and should be performed by hand with very sharp tools. sands and finishes well.","carvings, veneer, decorative boxes, turned objects, and other small speciality wood items."
" goncalo alves, tigerwood, jobillo", astronium graveolens (syn. a. fraxinifolium), from mexico southward to brazil," 100-130 ft (30-40 m) tall, 3-5 ft (1-1.5 m) trunk diameter",57lbs/ft3 (905 kg/m3)," 2,170 lbf (9,640 n)"," 16,970 lbf/in2 (117.0 mpa)"," 2,401,000 lbf/in2 (16.56 gpa)"," 10,770 lbf/in2 (74.2 mpa)"," radial 4.2%, tangential 7.8%, volumetric 11.2%, t/r ratio 1.9"," goncalo alves has excellent weathering properties, and is rated as very durable regarding decay resistance."," goncalo alves is generally not too difficult to work, despite its high density. figured pieces with irregular grain can pose a challenge in planing and machining operations. goncalo alves can also have a moderate blunting effect on cutters. the wood is very resistant to moisture absorption, which can make it difficult to glue. goncalo alves turns and finishes well."," flooring, veneers, furniture, cabinetry, carving, turned objects, and other small wood specialty objects such as pool cues, archery bows, knife handles, etc."
" tigre caspi, tiger caspi", zygia cataractae, central and south america, no data available,"66lbs/ft3(1,065 kg/m3)","2,420 lbf(10,770 n)*", no data available, no data available, no data available,"radial 7.6%, tangential 10.2%, volumetric 17.9%, t/r ratio 1.3", no data available., no data available.,"flooring (within its native range), turned objects, and other small specialty wood items."
 timborana, piptadenia spp., central america and brazil," 65-100 ft (20-30 m) tall, 2-3 ft (.6-1.0 m) trunk diameter",50 lbs/ft3 (800 kg/m3)," 1,550 lbf (6,880 n)"," 17,410 lbf/in2 (120.0 mpa)"," 2,380,000 lbf/in2 (16.41 gpa)"," 10,300 lbf/in2 (71.0 mpa)"," radial 4.6%, tangential 6.9%, volumetric 10.8%, t/r ratio 1.5"," timborana is generally regarded as durable or moderately durable regarding decay resistance, though it issusceptibleto insect attack."," timborana has a fairly high blunting effect on cutters due to its silica content. the wood is also somewhat difficult to surface, owing to its interlocked grain and density. timborana glues and finishes well."," in the united states, timborana is used mainly for flooring material. it is also occasionally imported as turning stock. within its native range, timborana is also used for heavy construction, interior millwork, and furniture."
 tineo, weinmannia trichosperma, south america (mainly chile and argentina)," 65-100 ft (20-30 m) tall, 2-3 ft (.6-1.0 m) trunk diameter", 44 lbs/ft3 (710 kg/m3)," 1,030 lbf (4,570 n)"," 13,050 lbf/in2 (90.0 mpa)","1,568,000lbf/in2(10.81 gpa)"," 6,400 lbf/in2 (44.1 mpa)"," radial ~4%, tangential ~8%, volumetric ~13%"," rated as non-durable, and also susceptible to insect attack."," works well with both hand and machine tools. glues, turns, and finishes well."," veneer, furniture, interiormillwork, and turned objects."
tornillo,cedrelinga catenaeformis,tropical south america,"65-115 ft (20-35 m) tall, 3-6 ft (1-1.9 m) trunk diameter",35 lbs/ft3 (555 kg/m3),"950 lbf (4,230 n)","9,870 lbf/in2 (68.1 mpa)","1,574,000 lbf/in2 (10.86 gpa)"," 5,950 lbf/in2 (41.1 mpa)"," radial 3.8%, tangential 6.9%, volumetric 12.6%, t/r ratio 1.8", rated as moderately durable; poor insect resistance.," easy to work with hand or machine tools, yet due to it's low density and interlocked grain, fuzzy surfaces may result from some machining operations. extra sanding or very sharp tools may be necessary to obtain a smooth finish. turns, glues, and finishes well."," furniture, turned objects, construction/utility wood, and paper (pulpwood)."
"ailanthus, tree of heaven, chinese sumac",ailanthus altissima,native to china; widely naturalized worldwide,"65-100 ft (20-30 m) tall, 2-3 ft (.6-1 m) trunk diameter",37 lbs/ft3 (600 kg/m3),"1,420 lbf (6,300 n)","11,060 lbf/in2 (76.2 mpa)","1,623,000 lbf/in2 (11,19 gpa)","6,680 lbf/in2 (46.1 mpa)"," radial 6.1%, tangential 10.8%, volumetric 17.1%, t/r ratio 1.8", no data available; reported to have good insect resistance.," easy to work with hand and machine tools. turns, glues, stains, and finishes well.","cabinetry, turned objects, and paper (pulpwood)."
 tulipwood, dalbergia decipularis (also dalbergia frutescens), northeastern brazil," 20-30 ft (6-9 m) tall, less than 1 ft (.3 m) trunk diameter", 60 lbs/ft3 (970 kg/m3)," 2,500 lbf (11,120 n)", no data available, no data available,no data available,"reported to be stable in use, with shrinkage rates likely similar to other <a href=""http//www.wood-database.com/wood-identification/by-scientific-name/#dalbergia"">rosewoods."," reported as having a low decay resistance, although it is resistant to insect attack.", tends to be difficult to work due to its high density; also has a blunting effect on cutters. can be difficult to glue do to an abundance of natural oils and high density. turns very well and takes a high polish.," veneer, fine furniture, inlay, marquetry, musical instruments (percussion), and small turned objects."
" black tupelo, blackgum",nyssasylvatica, eastern north america,"65-100 ft (20-30 m) tall, 2-3 ft (.6-1.0 m) trunk diameter",34 lbs/ft3 (545 kg/m3),"800 lbf (3,570 n)","9,500 lbf/in2 (65.5 mpa)","1,188,000 lbf/in2 (8.19 gpa)","5,470 lbf/in2 (37.7 mpa)"," radial 5.1%, tangential 8.7%, volumetric 14.4%, t/r ratio 1.7", rated as non-durable to perishable; also susceptible to insect attack.," easily worked with hand or machine tools, though tupelo has a tendency to warp while drying, and has a high amount of movement in service. responds well to power-carving, with little fuzz-up."," carving, furniture, crates/boxes, and utility wood."
" water tupelo, tupelo-gum",nyssa aquatica, southeastern united states,"65-100 ft (20-30 m) tall, 2-3 ft (.6-1.0 m) trunk diameter",34 lbs/ft3 (550 kg/m3),"870 lbf (3,870 n)","9,650 lbf/in2 (66.5 mpa)","1,250,000 lbf/in2 (8.62 gpa)","5,910 lbf/in2 (40.8 mpa)"," radial 4.2%, tangential 7.6%, volumetric 12.5%, t/r ratio 1.8", rated as non-durable to perishable; also susceptible to insect attack.,"easily worked with hand or machine tools, though tupelo has a tendency to warp while drying, and has a high amount of movement in service. responds well to power-carving, with little fuzz-up."," carving, furniture, crates/boxes, and utility wood."
 turpentine, syncarpia glomulifera, australia," 100-180 ft (30-55 m) tall, 3-4 ft (.9-1.2 m) trunk diameter",  59 lbs/ft3 (940 kg/m3)," 2,750 lbf (12,230 n)"," 21,600 lbf/in2 (149.0 mpa)","  2,245,000 lbf/in2 (15.50 gpa)"," 11,650 lbf/in2 (80.3 mpa)","radial 5.7%, tangential 10.4%, volumetric 16.7%, t/r ratio 1.8",, heartwood is reported to be very durable and resistant to decay from both fungi and insects.," can be difficult to work due to its high density, which has a tendancy to dull cutting edges. finishes to a high luster. turns well."
" tzalam,caribbeanwalnut, sabicu, false tamarind", lysiloma spp. (l.bahamense and l.latisiliquum), mexico and central america," 50-65 ft (15-20 m) tall, 2-3 ft (.6-1 m) trunk diameter", 49 lbs/ft3 (780 kg/m3)," 1,400 lbf (6,230 n)"," 12,800 lbf/in2 (88.3 mpa)"," 1,900,000 lbf/in2 ( 13.10 gpa)", no data available," radial 2.7%, tangential 7.2%, volumetric 9.5%, t/r ratio 2.7"," reported to be very durable, and also resistant to most insect attacks."," overall working properties are good, though tzalam may blunt tool edges faster than usual. turns, glues, and finishes well. able to take a high natural polish."," flooring, exterior furniture, interior trim, veneer, turned objects, and other small,specialtywood items."
" utile, sipo, sipo mahogany", entandrophragma utile, west and central africa," 150-200 ft (45-60 m) tall, 3-5 ft (1-1.5 m) trunk diameter", 40 lbs/ft3 (635 kg/m3)," 1,180 lbf (5,260 n)"," 15,060 lbf/in2 (103.8 mpa)"," 1,689,000 lbf/in2 (11.65 gpa)"," 8,280 lbf/in2 (57.1 mpa)"," radial 4.9%, tangential 6.9%, volumetric 11.8%, t/r ratio 1.4","rated as moderately durable to durable, with mixed reports on insect resistance.","utile can be troublesome to work in some machining operations, (i.e., planing, routing, etc.), resulting in tearout due to its interlocked grain. it will also react when put into direct contact with iron, becoming discolored and stained. turns, glues, and finishes well."," furniture,cabinetry, veneer, boatbuilding, flooring, and turned objects."
